"filename", "language", "Dart", "YAML", "JSON", "Markdown", "Properties", "XML", "Swift", "C++", "comment", "blank", "total"
"e:\Projects\Flutter\educonnect\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"e:\Projects\Flutter\educonnect\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"e:\Projects\Flutter\educonnect\android\app\google-services.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 29
"e:\Projects\Flutter\educonnect\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"e:\Projects\Flutter\educonnect\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 37, 0, 0, 11, 2, 50
"e:\Projects\Flutter\educonnect\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"e:\Projects\Flutter\educonnect\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"e:\Projects\Flutter\educonnect\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"e:\Projects\Flutter\educonnect\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"e:\Projects\Flutter\educonnect\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"e:\Projects\Flutter\educonnect\android\gradle.properties", "Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Projects\Flutter\educonnect\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"e:\Projects\Flutter\educonnect\assets\vectors\400-Error-Bad-Request-pana.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Projects\Flutter\educonnect\assets\vectors\404-Error-Page-not-Found-with-people-connecting-a-plug-pana.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Projects\Flutter\educonnect\assets\vectors\Loading-pana.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"e:\Projects\Flutter\educonnect\assets\vectors\No-data-amico.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Projects\Flutter\educonnect\assets\vectors\course.svg", "XML", 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 22
"e:\Projects\Flutter\educonnect\assets\vectors\pana.svg", "XML", 0, 0, 0, 0, 0, 440, 0, 0, 0, 1, 441
"e:\Projects\Flutter\educonnect\assets\vectors\post-Skeleton Loader.svg", "XML", 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"e:\Projects\Flutter\educonnect\firebase.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\Flutter\educonnect\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"e:\Projects\Flutter\educonnect\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"e:\Projects\Flutter\educonnect\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"e:\Projects\Flutter\educonnect\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"e:\Projects\Flutter\educonnect\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"e:\Projects\Flutter\educonnect\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"e:\Projects\Flutter\educonnect\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"e:\Projects\Flutter\educonnect\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\Flutter\educonnect\lib\firebase_options.dart", "Dart", 53, 0, 0, 0, 0, 0, 0, 0, 12, 4, 69
"e:\Projects\Flutter\educonnect\lib\main.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"e:\Projects\Flutter\educonnect\lib\modules\user.dart", "Dart", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\Projects\Flutter\educonnect\lib\providers\announce_provider.dart", "Dart", 466, 0, 0, 0, 0, 0, 0, 0, 8, 19, 493
"e:\Projects\Flutter\educonnect\lib\providers\auth_provider.dart", "Dart", 172, 0, 0, 0, 0, 0, 0, 0, 3, 25, 200
"e:\Projects\Flutter\educonnect\lib\providers\database_provider.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 1, 5, 30
"e:\Projects\Flutter\educonnect\lib\providers\post_provider.dart", "Dart", 517, 0, 0, 0, 0, 0, 0, 0, 17, 27, 561
"e:\Projects\Flutter\educonnect\lib\providers\profile_provider.dart", "Dart", 320, 0, 0, 0, 0, 0, 0, 0, 5, 11, 336
"e:\Projects\Flutter\educonnect\lib\providers\screen_provider.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"e:\Projects\Flutter\educonnect\lib\screens\Announcement_screen.dart", "Dart", 214, 0, 0, 0, 0, 0, 0, 0, 0, 7, 221
"e:\Projects\Flutter\educonnect\lib\screens\auth_screen.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\Projects\Flutter\educonnect\lib\screens\bookmarks_screen.dart", "Dart", 72, 0, 0, 0, 0, 0, 0, 0, 5, 5, 82
"e:\Projects\Flutter\educonnect\lib\screens\chat_screen.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\Projects\Flutter\educonnect\lib\screens\courses_screen.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\Projects\Flutter\educonnect\lib\screens\homefeed_screen.dart", "Dart", 216, 0, 0, 0, 0, 0, 0, 0, 0, 7, 223
"e:\Projects\Flutter\educonnect\lib\screens\main_screen.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Projects\Flutter\educonnect\lib\screens\my_announcement_screen.dart", "Dart", 70, 0, 0, 0, 0, 0, 0, 0, 0, 5, 75
"e:\Projects\Flutter\educonnect\lib\screens\my_posts_screen.dart", "Dart", 69, 0, 0, 0, 0, 0, 0, 0, 0, 5, 74
"e:\Projects\Flutter\educonnect\lib\screens\profile_screen.dart", "Dart", 416, 0, 0, 0, 0, 0, 0, 0, 15, 13, 444
"e:\Projects\Flutter\educonnect\lib\widgets\announcement.dart", "Dart", 199, 0, 0, 0, 0, 0, 0, 0, 2, 10, 211
"e:\Projects\Flutter\educonnect\lib\widgets\bottom_nav_bar.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 0, 0, 5, 66
"e:\Projects\Flutter\educonnect\lib\widgets\edu.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 103, 15, 118
"e:\Projects\Flutter\educonnect\lib\widgets\login.dart", "Dart", 167, 0, 0, 0, 0, 0, 0, 0, 0, 6, 173
"e:\Projects\Flutter\educonnect\lib\widgets\post.dart", "Dart", 246, 0, 0, 0, 0, 0, 0, 0, 2, 13, 261
"e:\Projects\Flutter\educonnect\lib\widgets\signup.dart", "Dart", 253, 0, 0, 0, 0, 0, 0, 0, 2, 9, 264
"e:\Projects\Flutter\educonnect\pubspec.yaml", "YAML", 0, 33, 0, 0, 0, 0, 0, 0, 57, 13, 103
"e:\Projects\Flutter\educonnect\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 3660, 36, 175, 13, 8, 619, 19, 1, 319, 271, 5121